Italian;Italiano
This article has been read %s times;Questo articolo è stato letto %s volte
posted;pubblicato il
Read our wiki articles before asking.;Leggi le nostre guide sul wiki prima di richiedere assistenza.
Search on Wiki Help Guide;Ricerca nella Guida Wiki
Category;Categoria
%s Subcategories;Sottocategorie %s
Result search for %s;Risultato della ricerca per %s

### STATUSES
To be Paid;Da Pagare
Payed;Pagato
Suspended;Sospeso
Deleted;Cancellato
Complete;Completo
Expired;Scaduto
Pending;In Attesa
Processing;In Elaborazione
Closed;Chiuso
Solved;Risolto
Queue;In Coda
Active;Attivo

### MODULES
Domains;Domini
Services;Servizi
Tickets;Segnalazioni
Products;Prodotti
Settings;Impostazioni
Orders;Ordini
Customers;Clienti
Registrars;Registrars
Product Categories;Categorie Prodotto
Profile;Profilo
Banks;Banche

### GRAPHS
domains_summary_per_month;Monthly Domains Summary 
Domains Summary;Sommario Domini

### ERRORS
emailAddressInvalidFormat;format is invalid.
isEmpty;e' vuoto. Questo campo è obbligatorio.
Email or Password incorrect;Email o Password non corrette.

### GENERAL
field;This field:
New;Nuovo
VAT;IVA
Total;Totale
index;Index
Date;Data
records;Records
Domain;Dominio
date;Date
daysleft;Days left
status;Status
commands;Commands
Show;Visualizza
Required fields;Campi richiesti
Fast Search;Ricerca Veloce
italian;Italian
english;English
myaccount;My Profile
welcome;Welcome
servers;Servers
Logout;Esci
general;Main
bulkcommands;Bulk Actions
Records per page;Records per pagina
Status;Stato
statusmgmt;Statuses
actions;Actions
bulkdelete;Delete
No Records;Nessuna informazione trovata.
Recordcount;Totale Records
Filters;Filtri
Messages;Messaggi
Message;Messaggio
Delete;Cancella
YES;Si
NO;No
Click here to edit;Click qui per modificare.
List;Lista
Search;Ricerca
Selected record;Record selezionato
confirm;Confirm Action 
confirmdelete;Confirm delete
delete_question;Are you sure to delete the selected record?
desc_delete_question;The selected record will be not longer available.
desc_confirm;Here you can choose if confirm or not a task. If you agree the record selected will be processed.
areusure;Are you sure?
noiwrong;No, I don't!
yesiwant;YES, I want to DELETE it!
methodnotset;Please, select the items and then the action from the list.
enabled;Enabled
desc_enabled;Enabled the item
add;Add
remove;Remove
The search view is active.;Il filtro di ricerca è attiva.
Click here to reset the results.;Click qua per cancellare il filtro di ricerca.
By creating an account with our store, you will be able to move through the checkout process faster, view and track your orders in your account and more.;Creando un account nel nostro negozio, sarai in grado di gestire il processo di pagamento più veloce, visualizzare e rintracciare i vostri ordini e molto altro ancora.
Create an Account;Crea un Profilo
New Account;Nuovo Profilo
Create your new account today!; Crea il tuo profilo oggi!
Login or Create a new Account;Accedi o Crea un nuovo Profilo
Already registered?;Già registrato?
Create my account;Crea il mio profilo
The task requested has been executed successfully.;L'operazione è stata eseguita con successo.
Reset your password;Reimposta la tua Password
Write your email in the follow text box in order to reset your password.;Scrivi la tua email nel seguente campo di testo per reimpostare la tua password.
Type anything for Creating or Selecting a Tag.;Digita qualcosa per Creare o Selezionare un Tag.
Searching...;Ricerca...
Create;Crea
What can you do?;Cosa posso fare adesso?
Have no fear, help is near! There are many ways you can get back on track with our store.;Nessuna paura, adesso ti diamo qualche consiglio! Ci sono molti modi per risolvere il problema riscontrato.
Go back to the previous page.;Torna indietro nella pagina precedente e riprova
Follow this link to get you back on track!;Fai click nel seguente link per tornare nella pagina principale
notMatch;non corrisponde
missingValue;non inserito
Please write again the password;Ripetere la password

### BILLING CYCLES
Month;Mese
Monthly;Mensile
month;Mese
months;Mesi
1 Month;1 Mese
6 Months;6 Mesi
12 Months;12 Mesi
24 Months;24 Mesi
36 Months;36 Mesi
1 Year;1 Anno
2 Years;2 Anni
No expiring;Nessuna Scadenza
Unit Price;Prezzo Unitario

### CUSTOMER SECTION
Reseller;Rivenditore
customer_edit; Modifica Cliente
desc_customer_edit; Qui è possibile modificare tutte le informazioni collegate ad un cliente particolare
Create Remote Profile;Crea Profilo Remoto
Create Domain;Crea Dominio
Create Order;Crea Ordine
customer_details;Dettagli Cliente
desc_customer_details;Mantieni aggiornate tutte le informazioni aziendali 
Legalform;Forma legale
Firstname;Nome
Lastname;Cognome
Birthdate;Data di Nascita
Birthplace;Luogo di Nascita
zipcode;C.A.P.
company_type;Tipo Azienda
companyname;Ragione Sociale
vat;IVA
birth date;Data di nascita
birth place;Luogo di nascita
birth district;Provincia di nascita
birth country;Nazione di nascita
birth nationality;Nazionalità
taxpayernumber;Codice Fiscale
address;Indirizzo
province;Provincia
country;Nazione
addresses;Addresses
contacts;Contacts
attachments;Attachments
various;Various
tools;Tools
admin;Administration
Edit;Modifica
Select ...;Seleziona ...
individual;Privato / Ditta Individuale
corporation;Azienda
association;Associazione
other;Altro
desc_legalform;Select one of the legal form from the list
city;City
area;Area
baseaddress;Invoice Address
No invoices have been found.;Nessuna fattura è stata trovata.
contact_type;Contact type
contact;Contact
filecategory;File Categories
applicationforms;Application Form
quote;Quote Document
documents;Generic Documents
nichandle;External Codes
Personal Information;Anagrafica
Private Notes;Note Private
magento_customers;Magento's Customers
desc_magento_customers;Click on the list and wait until the list will be filled with all remote customers.
download_customer_selected;Import Customer
customer_list;Customer List
desc_customer_list;List of the customers.
Select a filter;Seleziona il filtro
company;Company
Customer;Cliente
Tax payer number;Codice Fiscale
Birthdate;Data di nascita
Write here your birthday (eg. dd/mm/yyyy);Inserire la data di nascita (es. gg/mm/aaaa)
Write here the birthplace.;Inserire il luogo di nascita
Write the tax payer number.;Inserire il codice fiscale personale se persona fisica negli altri casi inserire il codice fiscale d'azienda. 
Print Invoice;Stampa Fattura
Credit Notes;Note di Credito
Credit Note No.;Nota di Credito Nr.
Invoice No.;Fattura Nr.
Order No.;Ordine Nr.
Print Order;Stampa Ordine
Invoice;Fattura
Supplier;Fornitore
Write here your firstname.;Scrivi in questo campo il tuo nome.
Write here your lastname.;Scrivi in questo campo il tuo cognome.
Write here your email;Inserisci la tua email
Write here your password. (min.6 chars - max.20 chars);Scrivi la tua password. (min.6 caratteri - massimo 20 caratteri)
Write here the VAT number.Inserisci la tua Partita IVA
Select the type of company.Seleziona la forma legale
Company Type;Tipologia Azienda
Write here your company name.Inserisci la tua Ragione Sociale.
Birth District;Provincia di Nascita
Country of Birth;Nazione di Nascita
Birth Nationality;Nazionalità
Sex;Sesso
Addresses;Indirizzi
Zip;C.A.P.
City;Città
Area;Provincia
Country;Nazione
Default Address;Indirizzo di base
Write the address;Inserire l'indirizzo
Write the zip code;Inserire il codice C.A.P.
Write here your city name;Inserire il nome della città
Write the area code;Inserire il nome della Provincia
Select your own country;Seleziona la nazione
Contacts;Contatti
contact;Contatto
type;Tipo
Contact Types;Tipo di Contatto
We have found some errors;Abbiamo trovato qualche errore durante la compilazione del modulo
Select the contact type;Seleziona la tipologia del contatto
Write here the contact (eg. +39.3381238830);Inserire il contatto telefonico (es. +39.3381238830)
Your personal data are mandatories to register or transfer a domain name.;I dati personali sono obbligatori per poter registrare o trasferire un dominio. 
General;Generale
Write here your company name.;Inserire il nome dell'attività
Select the type of company.;Selezionare il tipo di azienda
Write here the VAT code. Eg: IT123456789.;Inserire la Partita IVA. Esempio: IT123456789
Profile details;Dettaglio Profilo
Update here your details filling the applicant form with all the information about you.;Inserisci qui i tuoi dettagli compilando il modulo con tutte le informazioni necessarie.
Select the company;Seleziona l'azienda
Total %s records found;Trovati in totale %s records
Page;Pagina
View;Visualizza
Actions;Azioni
Search %s;Ricerca %s

### DOMAINS
Domain Expiration;Domini in Scadenza
This view helps you to check which are all the domain next to the expiration.;Questa lista mostra tutti i domini prossimi alla scadenza.
.%s domain;.%s domain
domain registration;registrazione domini
.%s domain registration;Registrazione domini .%s 
%s is already taken.;%s è già stato preso.
%s is still free.;%s è ancora libero.
Yes, I would like to renew the domain at the expiration date.;Si, desidero rinnovare il dominio alla data di scadenza.
No, I am not interested in the renew.;No, non sono interessato al rinnovo del dominio alla data di scadenza.
By default, all domains are set to auto-renew. Choose if the domain must be auto-renew or not at the expiring date.;Di base tutti i domini sono impostati con rinnovo automatico per tutelare gli utenti al fine di non perdere il dominio. Scegli se il dominio deve essere automaticamente rinnovato oppure no alla data di scadenza.
Update Domain Information;Aggiorna Dominio 
Domains List;Lista Domini
Domain Edit;Modifica Dominio
Here you can edit your own domain parameters.;Qui puoi conoscere i dettagli del dominio e modificarne i parametri.
Here you can see all the list of your domains.;Qui puoi visualizzare la lista dei tuoi domini.
Starting;Data Inizio
Ending;Scadenza
Termination;Scadenza
Write here a message for the administrator about this domain.;Scrivi qui un messaggio rivolto all'amministratore relativo a questo dominio.
Your message;Il tuo messaggio
Renew;Rinnovo
Autorenew;Rinnovo Automatico
No Autorenew;Rinnovo Disabilitato
Domain Summary per Month;Sommario dei Domini per mese
Import;Importa
Update Domains;Aggiorna Domini
Here you can show all the services subscribed with the domain.;Qui puoi visualizzare tutti i servizi collegati al dominio.
This domain will be not renewed at the expiring day.;Questo dominio non sarà rinnovato alla scadenza.
This domain will be renewed at the expiring day. Auto-Renew setting is active. You can edit this option until 3 days before the expiring day.;Questo dominio sarà rinnovato il giorno di scadenza. L'impostazione di rinnovo automatico è attiva. È possibile modificare questa opzione fino a 3 giorni prima della data di scadenza.
Here you can see all the questions and replies about this service/domain;Qui puoi visualizzare tutte le domande e le risposte relative ad un servizio oppure ad un dominio.
Owner;Proprietario
DNS Zones;Zone DNS
Register;Registra
Actions;Azioni
Execute;Esegui
Renew Domains;Rinnova Domini
Active Hosting Services;Servizi Hosting Attivi
Last Messages;Ultimi Messaggi
Last Orders;Ultimi Ordini
New Orders;Nuovi Ordini
Processing Orders;Ordini in Lavorazione
Download DNS;Scarica DNS
Update DNS;Aggiorna Zone DNS 
Update domain;Aggiorna Dominio 
The requested task has been completed successfully;L'operazione richiesta è stata eseguita correttamente.
Authinfo code;Codice AuthInfo
Transfer;Trasferisci
desc_domainname;Write down the name of the domain without any extension, white spaces, or symbols
desc_tld;Select the TLD from the list
desc_authinfo;Write down the Authinfo code in order to transfer the domain to this ISP
Creation date;Data di Creazione
Transaction ID;Codice Transazione
Payment mode;Modalita' di Pagamento
Payment Transactions;Transazioni di Pagamento
Payment note;Note
The domain selected has not been attached in a order.The Autorenew setting is not saved.;Il dominio selezionato non è stato inserito in alcun ordine, l'impostazione del Rinnovo Automatizzato non è stata salvata.
DNS successfully updated;DNS aggiornato correttamente.
Subdomain;Sottodominio
Target;Obiettivo
Zone;Zona
A problem has been occurred during the updating of the DNS. Check the settings in the Record DNS tab.;Attenzione si è verificato un problema all'aggiornamento del DNS. Controllate le informazioni impostate nella sezione Records DNS.
err_nichandle_not_found;The domain owner have not any nic-Handle set as default.
Want you register the selected domain?;Desideri registrare il dominio selezionato?
The domain will be register using the Registrant set in the domain page.;Il dominio sarà registrato utilizzando il Registrant impostato nei dettagli del dominio.
Want you renew the selected domain?;Desideri rinnovare il dominio selezionato?
The domain will be renewed using the Registrant set in the domain page.;Il dominio sarà rinnovato utilizzando il Registrant impostato nei dettagli del dominio.
Are you sure to delete the domain?;Sei sicuro di voler cancellare il dominio?
If a domain has been deleted it is no more restorable.;Se un dominio viene cancellato, non sarà più ripristinabile.
Select the items and then use the bulk action system to set more than one item.;Seleziona gli elementi e successivamente utilizza le azioni per eseguire l'operazione desiderata.
Transfer here your domain;Trasferisci qui il tuo dominio
To protect against theft the domain, the domain is placed in a state that does not allow the transfer. If another registrar requires the transfer of the domain, the operation will be automatically rejected. If you wish to transfer the domain to a new registrar, remove the protection. In this state, the domain will not be protected and another registrar may request the transfer.;Per la protezione contro il furto del dominio, il dominio viene posto in uno stato che non permette il trasferimento. Se un altro registrar richiede il trasferimento del dominio, l'operazione sarà automaticamente respinta. Se si desidera trasferire il dominio a un nuovo registrar, rimuovere la protezione. In questo stato, il dominio non saranno protetti e un altro registrar può chiedere il trasferimento.
The authinfo is a code that is assigned at the time of registration and that uniquely identifies the domain. The Registrar must notify the Registrant of this code, necessary to perform all operations. Without this code you cannot transfer this domain.;Il codice Authinfo è un codice che viene assegnato al momento della registrazione, e che identifica in modo univoco il dominio. Il proprietario del dominio deve notificare al Registrante questo codice, necessario per eseguire tutte le operazioni. Senza questo codice non è possibile trasferire questo dominio. Chiedete il codice Authinfo al vostro vecchio Internet Hosting Provider.
To transfer your own domain name here you have to set the AuthInfo Code in the following textbox area.;Per trasferire la gestione del proprio nome a dominio qui è necessario impostare il codice AuthInfo nell'area casella di testo seguente.
The domain has been unlocked. Now wait some minutes, until the operation has benn completed. Now the domain is NOT PROTECTED from thieves and you can risk to loose it.;Il dominio è stato sbloccato. Ora aspetta qualche minuto, fino a quando l'operazione è completata. Ora il dominio non è protetto dai ladri e potresti rischiare di perderlo.
Protect your domain;Proteggi il tuo dominio
Request the AUTHINFO;Richiedi l'AUTHINFO
Request a NEW AUTHINFO;Nuovo AUTHINFO
authinfo;AUTHINFO
service;Servizio
List of all the services attached to the domain.;Lista di tutti i servizi connessi al dominio.
fromdate;Data Inizio
todate;Data Fine
Options;Opzioni
Here you can unlock the domain before the transfer it in another hosting provider.;Qui puoi sbloccare il dominio prima del trasferimento presso un altro hosting provider.
Here you can update the status of your domain.;Facendo click qui il dominio verrà aggiornato.
In this section you can execute various operation with your domain name.;In questa sezione puoi eseguire varie operazioni con il tuo nome a dominio.
Update Domain;Aggiorna Dominio
Here you can lock the domain and protect it from the thieves.;Facendo click qui puoi bloccare il dominio e proteggerlo dai ladri.
Lock Domain;Blocca Dominio
The authinfo domain code has not been found. Please add the code in the domain control panel.;Il codice Authinfo non è stato trovato. Richiedete il codice al vostro vecchio provider ed inserite quest'ultimo nella scheda del dominio. L'operazione di trasferimento verrà riavviata automaticamente.
The domain task requested has been scheduled successfully. Please see the tasks tab form.;La pianificazione richiesta per il dominio selezionato è stata eseguita correttamente. Controllare la sezione Operazioni Pianificate.
Here you can set your DNS Zones. All the edits have need one hour at least.;Qui è possibile impostare le zone DNS. Tutte le modifiche necessitano almeno un'ora per essere effettive.
DNS Zone for %s;Zona DNS per %s

### ORDERS
Order nr. %s - %s;Ordine nr. %s %s
Product Name;Nome del prodotto
OrderID;Ordine
This is the list of all your orders.; Questa è la lista dei tuoi ordini.
Order Summary;Riepilogo Ordine
Complete the order choosing your preferite payment method.;Completare l'ordine scegliendo il metodo di pagamento preferito.
Payment Methods;Metodi di Pagamento
Order no.;Ordine n.
InvoiceId;Fattura
Setup fee;Una Tantum
startdate;Data
Reply;Rispondi
Fastlink Code;Codice Fastlink
Order;Ordine
Order %s;Ordine %s
Open a ticket;Apri un ticket
Bank Transfer;Bonifico Bancario
Account Name;Intestato a
Bank;Banca
Bank Account Number;Conto Corrente Bancario
The domain is a mandatory field. Choose a domain name.;Il dominio è un campo obbligatorio. Scegli un dominio.
Invoice destination;Fatturato a
Order Now;Ordina Adesso
Here you can see all the order information.;Qui puoi visualizzare l'ordine selezionato.
Orders List;Lista Ordini
Order Details;Dettaglio Ordine
Here you can create a new order;Qui puoi creare un nuovo ordine
Here you can manage all the orders.;Qui puoi gestire i tuoi ordini
Grandtotal;Totale Complessivo
Invoice Nr.;Fattura N.
Select here the company or the customer;Seleziona qui l'azienda.
Message about the order;Messaggio Ordine
Check the information posted and then click on the save button.;Controlla le informazioni inserite e fai click nel bottone salva.
Order process;Ordini
order_date;Data Ordine
next_deadline;Prossima Scadenza
grandtotal;Totale Complessivo
sku;Codice Interno
total;Totale Imponibile
invoice_number;Invoice Number
Download Invoices;Scarica Fatture
order_edit;Order Edit
desc_order_edit;Edit this order in all its section.
order;Ordine
id;Codice
details;Details
List of all the orders where the domain appears.;Lista degli ordini in cui appare il dominio.
createinvoice;PDF Invoice
Quantity;Quantità
quantity;Quantità
Description;Descrizione
description;Descrizione
Price;Prezzo
price;Prezzo
setupfee;Una Tantum
Billing_cycle;Modalità di Fatturazione
Tax;Tasse
enddate;Data Fine
action;Azione
log;Messaggi (LOG)
times;Eseguito
Days left;Giorni Rimanenti
categories;Categories
Reviews;Recensioni
Date Start;Data Inizio
billingcycle;Ciclo di fatturazione
Billing Cycle;Ciclo di fatturazione
referdomain;Refering Domain
searchdomains;Search domains
There was a problem during the payment process.;Si è verificato un problema durante la fase di pagamento.
Here you can read all your questions and the admin replies about this order.;In questa sezione puoi leggere le tue domande poste all'amministratore e le risposte inerenti l'ordine selezionato.
To be paid;Da pagare

### TICKETS SYSTEM
Replies;Risposte
Attachments;Allegati
Ticket;Segnalazione
Choose the domain name reference;Seleziona il nome a dominio di riferimento
This is the list of the last tickets posted by the customers.;Questa lista visualizza le ultime segnalazioni inviate dai clienti.
Add new Issue;Crea una Segnalazione
Post a new issue.;Inserisci una nuova segnalazione.
Select a category.;Seleziona una categoria
Write here a subject of the issue.;Scrivi qui l'oggetto della segnalazione
Your Response;Rispondi Adesso 
Send Request;Invia Segnalazione
Tickets list;Lista Segnalazioni
Here you can write down your problem. Remember to be clear and analytic in order to explain the problem that has been occurred.;Indica nel modulo in dettaglio il problema riscontrato. Ricorda di inserire una segnalazione dettagliata in ogni sua parte.  
Here you can see the list of all the issue posted.;Qui puoi visualizzare tutte le segnalazioni inviate.
Post new ticket;Inserisci una nuova segnalazione
Back to list;Torna alla lista
Ticket Edit;Dettagli Segnalazione
Ticket process;Registrazione Segnalazione
Check the information before save again.;Controlla le informazioni inserite e fai click su salva. 
ticketnotes;Notes
Notes;Note
Write here a note.;Scrivi una nota
Write here a note. An email will be sent to the ISP staff.;Scrivi una nota. Una email verrà inviata allo staff.
Write here all the information.;Inserisci nel campo tutti i dettagli del problema riscontrato. 
Further notes;Storia della segnalazione 
Set the issue status;Imposta lo stato della segnalazione
Expecting a reply;In attesa di risposta
This issue is connected with the ticket: %s;Questa segnalazione è connessa al ticket: %s
Select the document to upload. Files allowed are (%s) - Max %s;Seleziona il documento da importare. Files consentiti (%s) - Massimo %s
### TICKET RATINGS
Very poor;Veramente scadente
Poor;Scadente
OK;Sufficiente
Good;Buona
Very Good;Ottima


### PRODUCTS
Starting at;A partire da
Related Products;Prodotti Correlati
VAT not included;IVA esclusa
VAT included;IVA inclusa
Prices list;Listino prezzi
Details;Dettagli
Other extensions;Altre estensioni
Register your new .%s domain;Registra il tuo nuovo dominio .%s
Registration price;Prezzo per la registrazione
Transfer price;Prezzo per il trasferimento
Renewal price;Prezzo per il rinnovo
Name;Nome
Cost;Costo
Category;Categoria
Features;Caratteristiche
Keywords;Parole Chiave
Learn more;Visualizza Scheda
Customer Reviews;Recensioni Clienti
Compare Products;Confronta i Prodotti
Compare;Confronta
On line in minutes!;On line in pochi minuti!
Choose your service;Scegli il tuo servizio
Type here what you are looking for;Digita qui quello che stai cercando

### SERVICES
Setup fees;Costi di Attivazione
Services List;Lista Servizi
Yes, I would like to renew the service at the expiration date.;Si, desidero rinnovare il servizio alla data di scadenza.
No, I am not interested in the service renew.;No, non sono interessato al rinnovo del servizio alla data di scadenza.
List of all your own services subscribed;Qui puoi gestire tutti i servizi sottoscritti
date_end;Ending Date
domains_selected;Domain Selected
desc_domains_selected;The domains selected will be linked to the service selected.
service_edit;Service
desc_service_edit;Here you can manage the service subscribed by the customer.
Expiring_Date;Data di Scadenza
Valid Up;Valido fino al
Creation_Date;Data di Creazione
Service Details;Dettagli Servizio
List of all the service details.;Lista di tutti i dettagli del servizio.
Write here your reply. An email will be sent to the ISP staff.;Inserisci un messaggio. Il messaggio verrà inviato via email allo staff tecnico.

### SETTINGS
settings_list;Settings List
desc_settings_list;Here you can manage all the ShineISP settings.
value;Value
parameter;Parameter
desc_parameter;Select the paramenter to be configure
settings_edit;Settings Edit
desc_settings_edit;Edit the settings or add a new one.

### REGISTRANTS
registrant_list;Registrant List
desc_registrant_list;Manage the SOAP classes in order to create a relashionship between ShineISP and other remote registrant services.
wsdl;WSDL
desc_name;Write down a name
desc_wsdl;URL of the remote WSDL
